transaction_id,user_id,amount,currency,country,merchant_type,device_risk_score,timestamp,transaction_type,description,recipient_account,sender_account
TXN-1064,user_108,9391.61,SGD,USA,travel,0.86,2024-01-02 15:53:55,payment,Transaction 64,ACC8332922805,ACC9082820850
TXN-1065,user_017,27393.12,AED,India,real_estate,0.4,2024-01-02 10:48:46,transfer,Transaction 65,ACC6026911151,ACC8141834234
TXN-1066,user_063,9056.69,GBP,UAE,crypto_exchange,0.32,2024-01-02 10:24:04,withdrawal,Transaction 66,ACC9127896137,ACC3662518097
TXN-1067,user_091,6628.27,EUR,UK,retail,0.56,2024-01-02 12:16:04,deposit,Transaction 67,ACC4653292574,ACC3264340270
TXN-1068,user_006,783.29,EUR,USA,business,0.18,2024-01-02 13:56:43,deposit,Transaction 68,ACC1899162736,ACC2218608381
TXN-1069,user_121,8764.07,GBP,USA,travel,0.33,2024-01-02 15:29:35,payment,Transaction 69,ACC9040846200,ACC5151663264
TXN-1070,user_081,487.74,INR,USA,entertainment,0.32,2024-01-02 15:18:28,deposit,Transaction 70,ACC6223281067,ACC2006939381
TXN-1071,user_069,694.64,SGD,India,real_estate,0.59,2024-01-02 15:44:00,transfer,Transaction 71,ACC7306740329,ACC3077835752
TXN-1072,user_032,79606.35,SGD,India,grocery,0.17,2024-01-02 13:43:44,payment,Transaction 72,ACC7731411649,ACC8130192906
TXN-1073,user_047,3923.19,GBP,UAE,utilities,0.83,2024-01-02 14:28:55,withdrawal,Transaction 73,ACC9423915533,ACC6751208711
TXN-1074,user_167,65385.32,SGD,Germany,business,0.85,2024-01-02 10:10:30,deposit,Transaction 74,ACC4186059963,ACC7539508101
TXN-1075,user_111,182512.79,USD,India,entertainment,0.27,2024-01-02 10:16:22,payment,Transaction 75,ACC8235522142,ACC1793194953
TXN-1076,user_028,4043.22,INR,India,grocery,0.43,2024-01-02 14:53:45,transfer,Transaction 76,ACC6556276171,ACC4676508954
TXN-1077,user_186,2593.25,AED,India,jewelry,0.31,2024-01-02 16:32:10,deposit,Transaction 77,ACC6493159226,ACC1117722702
TXN-1078,user_132,5816.65,EUR,India,restaurant,0.12,2024-01-02 09:38:17,withdrawal,Transaction 78,ACC4054747607,ACC8459951518
TXN-1079,user_037,743.85,INR,USA,travel,0.19,2024-01-02 11:35:35,deposit,Transaction 79,ACC7108414616,ACC9367154812
TXN-1080,user_092,8705.67,INR,India,investment,0.15,2024-01-03 11:35:28,withdrawal,Transaction 80,ACC1320363085,ACC8402765427
TXN-1081,user_067,282.99,AED,India,jewelry,0.46,2024-01-03 12:45:05,payment,Transaction 81,ACC9677490451,ACC3924729174
TXN-1082,user_088,1952.81,INR,India,education,0.81,2024-01-03 16:23:39,transfer,Transaction 82,ACC6946197534,ACC8498721298
TXN-1083,user_090,16387.67,AED,Germany,investment,0.28,2024-01-03 09:21:20,transfer,Transaction 83,ACC1414843515,ACC1180798035
TXN-1084,user_136,86825.19,USD,India,jewelry,0.49,2024-01-03 16:56:22,payment,Transaction 84,ACC8457002831,ACC8107166634
TXN-1085,user_162,805.44,AED,UK,crypto_exchange,0.62,2024-01-03 09:34:46,withdrawal,Transaction 85,ACC9806983873,ACC8153322173
TXN-1086,user_122,1362.67,AED,India,restaurant,0.2,2024-01-03 16:32:34,transfer,Transaction 86,ACC2382920297,ACC6872195429
TXN-1087,user_106,7102.57,AED,India,real_estate,0.28,2024-01-03 16:49:13,withdrawal,Transaction 87,ACC2143973365,ACC7725992893
TXN-1088,user_053,274161.36,AED,USA,automobile,0.13,2024-01-03 09:22:39,deposit,Transaction 88,ACC5814588492,ACC4699077080
TXN-1089,user_038,6394.96,USD,India,travel,0.23,2024-01-03 13:35:51,transfer,Transaction 89,ACC6352658681,ACC8952648650
TXN-1090,user_092,81768.39,GBP,India,retail,0.45,2024-01-03 13:59:31,transfer,Transaction 90,ACC8352188792,ACC3905142360
TXN-1091,user_096,7306.81,SGD,Singapore,grocery,0.17,2024-01-03 15:06:38,transfer,Transaction 91,ACC9977858859,ACC1574122588
TXN-1092,user_052,1398.07,EUR,USA,crypto_exchange,0.3,2024-01-03 17:20:54,payment,Transaction 92,ACC2976811891,ACC4554821176
TXN-1093,user_139,3082.41,GBP,India,investment,0.21,2024-01-03 18:01:35,payment,Transaction 93,ACC8817625889,ACC8938290166
TXN-1094,user_112,6334.86,INR,India,business,0.44,2024-01-03 10:15:35,transfer,Transaction 94,ACC9712626366,ACC3137454941
TXN-1095,user_154,45232.64,GBP,USA,healthcare,0.36,2024-01-03 17:59:39,withdrawal,Transaction 95,ACC4875534789,ACC2897444896
TXN-1096,user_200,6389.31,AED,India,healthcare,0.34,2024-01-03 11:58:36,deposit,Transaction 96,ACC8565352899,ACC6290370936
TXN-1097,user_124,2097.13,GBP,India,investment,0.4,2024-01-03 10:33:55,transfer,Transaction 97,ACC9464731359,ACC4665431720
TXN-1098,user_050,8568.41,SGD,India,utilities,0.31,2024-01-03 16:07:11,payment,Transaction 98,ACC6011016798,ACC3082519415
TXN-1099,user_116,708.77,GBP,India,retail,0.31,2024-01-03 10:13:57,transfer,Transaction 99,ACC6342040498,ACC7015811979
TXN-1100,user_152,1539.02,AED,India,online,0.13,2024-01-03 12:55:16,deposit,Transaction 100,ACC8524781480,ACC3790273107
TXN-1101,user_010,35400.43,AED,UAE,crypto_exchange,0.14,2024-01-03 13:15:44,payment,Transaction 101,ACC1000695071,ACC8426576744
TXN-1102,user_028,594.0,SGD,India,automobile,0.18,2024-01-03 14:19:24,withdrawal,Transaction 102,ACC1007635843,ACC1459198376
TXN-1103,user_112,9391.46,EUR,India,education,1.09,2024-01-03 15:56:45,deposit,Transaction 103,ACC6585807429,ACC9589273240
TXN-1104,user_190,488.65,AED,USA,automobile,0.31,2024-01-03 16:12:06,deposit,Transaction 104,ACC1634957266,ACC1138744091
TXN-1105,user_107,1262.78,GBP,India,investment,0.5,2024-01-03 16:57:33,withdrawal,Transaction 105,ACC3277856105,ACC7527989233
TXN-1106,user_171,4741.67,EUR,India,grocery,0.69,2024-01-03 16:24:32,deposit,Transaction 106,ACC4406066445,ACC5011665185
TXN-1107,user_073,177698.53,USD,India,utilities,0.5,2024-01-03 10:12:56,payment,Transaction 107,ACC1296667494,ACC6842726639
TXN-1108,user_101,77563.88,GBP,India,investment,0.43,2024-01-03 18:01:57,withdrawal,Transaction 108,ACC9883737077,ACC1940715783
TXN-1109,user_074,84195.19,AED,India,online,0.19,2024-01-03 15:36:15,deposit,Transaction 109,ACC6130356033,ACC7694401585
TXN-1110,user_152,85084.06,SGD,India,real_estate,0.4,2024-01-03 10:36:05,withdrawal,Transaction 110,ACC3681774560,ACC4290920978
TXN-1111,user_034,186847.28,USD,UK,education,0.25,2024-01-03 16:04:52,transfer,Transaction 111,ACC3015712597,ACC9407215856
TXN-1112,user_164,696.7,USD,India,healthcare,0.33,2024-01-03 10:22:31,payment,Transaction 112,ACC1262184865,ACC3110290358
TXN-1113,user_113,665.66,EUR,India,jewelry,0.25,2024-01-03 18:57:39,deposit,Transaction 113,ACC7917776072,ACC2744404028
TXN-1114,user_032,1286.08,GBP,Canada,online,0.13,2024-01-03 13:59:36,payment,Transaction 114,ACC1009679403,ACC4732265053
TXN-1115,user_196,2272.49,INR,Australia,crypto_exchange,0.34,2024-01-03 11:13:35,withdrawal,Transaction 115,ACC6771361756,ACC3637112786
TXN-1116,user_150,825.77,AED,UK,crypto_exchange,0.85,2024-01-03 11:28:29,transfer,Transaction 116,ACC7275181925,ACC9940592061
TXN-1117,user_192,77719.74,GBP,India,business,0.22,2024-01-03 15:23:08,withdrawal,Transaction 117,ACC6857954204,ACC6743082090
TXN-1118,user_197,7503.58,GBP,India,restaurant,0.28,2024-01-03 16:07:43,transfer,Transaction 118,ACC9061225406,ACC4626731918
TXN-1119,user_094,629.31,SGD,UK,utilities,0.19,2024-01-03 13:04:12,payment,Transaction 119,ACC1545714172,ACC7806785265
TXN-1120,user_183,2487.17,INR,India,utilities,0.84,2024-01-04 18:07:45,withdrawal,Transaction 120,ACC3748075401,ACC4385738661
TXN-1121,user_100,469929.37,EUR,UK,online,0.67,2024-01-04 16:01:44,transfer,Transaction 121,ACC8814543605,ACC7462612934
TXN-1122,user_100,2090.69,EUR,Australia,education,0.34,2024-01-04 17:18:25,transfer,Transaction 122,ACC3254656943,ACC3453715767
TXN-1123,user_097,592.01,USD,India,healthcare,0.27,2024-01-04 16:41:36,transfer,Transaction 123,ACC7365827754,ACC5404510431
TXN-1124,user_081,477.16,GBP,India,restaurant,0.29,2024-01-04 17:53:30,withdrawal,Transaction 124,ACC5342250988,ACC9955427997
TXN-1125,user_064,259.75,GBP,UK,restaurant,0.23,2024-01-04 12:40:19,deposit,Transaction 125,ACC2688595456,ACC1786375487
TXN-1126,user_134,442.8,USD,USA,travel,0.3,2024-01-04 16:34:13,payment,Transaction 126,ACC9583704178,ACC5084306850
TXN-1127,user_089,7887.57,GBP,UK,utilities,0.33,2024-01-04 12:04:56,deposit,Transaction 127,ACC9393385510,ACC9848619393
TXN-1128,user_083,476597.91,USD,India,utilities,0.38,2024-01-04 15:22:36,deposit,Transaction 128,ACC4742438567,ACC3403208946
TXN-1129,user_176,308.05,AED,India,business,0.15,2024-01-04 13:07:21,payment,Transaction 129,ACC6490549187,ACC4469564841
TXN-1130,user_001,390.53,INR,India,investment,0.85,2024-01-04 16:58:18,transfer,Transaction 130,ACC1929545769,ACC2311118759
TXN-1131,user_038,265.97,INR,India,online,0.23,2024-01-04 09:58:32,deposit,Transaction 131,ACC4498471586,ACC2349138174
TXN-1132,user_184,5157.44,USD,UK,grocery,0.44,2024-01-04 17:58:28,withdrawal,Transaction 132,ACC5333829884,ACC5873561959
TXN-1133,user_055,2805.53,USD,USA,utilities,0.35,2024-01-04 15:11:53,withdrawal,Transaction 133,ACC8891286842,ACC6751413238
TXN-1134,user_069,380.77,INR,India,education,0.53,2024-01-04 16:55:24,transfer,Transaction 134,ACC9443106020,ACC1245407044
TXN-1135,user_046,328.43,AED,India,jewelry,0.36,2024-01-04 14:44:26,payment,Transaction 135,ACC3036695938,ACC1636868912
TXN-1136,user_122,689.22,EUR,India,investment,0.23,2024-01-04 17:41:18,deposit,Transaction 136,ACC7943323992,ACC1745516606
TXN-1137,user_068,328.39,AED,USA,retail,0.13,2024-01-04 14:49:20,payment,Transaction 137,ACC2591137366,ACC3356546870
TXN-1138,user_167,5731.46,INR,India,restaurant,0.97,2024-01-04 18:59:19,withdrawal,Transaction 138,ACC5351257055,ACC8408498674
TXN-1139,user_188,3427.74,AED,Singapore,healthcare,0.27,2024-01-04 18:03:16,deposit,Transaction 139,ACC4376863309,ACC2231581272
TXN-1140,user_118,326305.96,GBP,UK,crypto_exchange,0.6,2024-01-04 10:52:02,withdrawal,Transaction 140,ACC7863141547,ACC6458938197
TXN-1141,user_187,659.93,EUR,UAE,entertainment,0.67,2024-01-04 11:24:28,withdrawal,Transaction 141,ACC5030461450,ACC4064049604
TXN-1142,user_183,634.44,SGD,India,business,0.17,2024-01-04 18:43:28,deposit,Transaction 142,ACC2200226553,ACC1371912270
TXN-1143,user_017,72417.4,GBP,India,entertainment,1.02,2024-01-04 11:55:59,payment,Transaction 143,ACC3374523488,ACC4448154034
TXN-1144,user_125,762.61,AED,UK,travel,0.44,2024-01-04 11:10:43,payment,Transaction 144,ACC5186669551,ACC5501456975
TXN-1145,user_068,6709.72,AED,USA,crypto_exchange,0.19,2024-01-04 11:15:22,transfer,Transaction 145,ACC1797370708,ACC7542622820
TXN-1146,user_009,6413.76,GBP,India,restaurant,0.51,2024-01-04 10:12:13,withdrawal,Transaction 146,ACC7995374427,ACC1072223474
TXN-1147,user_030,69237.91,SGD,India,travel,0.21,2024-01-04 13:53:44,deposit,Transaction 147,ACC4408827363,ACC8251697274
TXN-1148,user_108,23230.66,AED,India,retail,0.81,2024-01-04 10:29:03,deposit,Transaction 148,ACC2907111489,ACC6085252870
TXN-1149,user_144,6061.26,INR,India,automobile,0.35,2024-01-04 12:37:30,withdrawal,Transaction 149,ACC1892648383,ACC6006604613
TXN-1150,user_043,122.9,GBP,USA,automobile,0.14,2024-01-04 16:34:06,payment,Transaction 150,ACC9585329985,ACC3681085931
TXN-1151,user_044,578.86,EUR,UAE,crypto_exchange,0.55,2024-01-04 12:42:36,withdrawal,Transaction 151,ACC6120208323,ACC4097239666
TXN-1152,user_034,9377.79,INR,India,healthcare,0.36,2024-01-04 14:10:41,deposit,Transaction 152,ACC8335168060,ACC3522333954
TXN-1153,user_115,41369.36,SGD,Singapore,restaurant,0.18,2024-01-04 12:43:37,deposit,Transaction 153,ACC3092675136,ACC4834699254
TXN-1154,user_194,54571.58,USD,India,entertainment,0.26,2024-01-04 16:37:11,transfer,Transaction 154,ACC7843386386,ACC2274578652
TXN-1155,user_050,76387.29,EUR,USA,grocery,0.28,2024-01-04 10:49:14,deposit,Transaction 155,ACC1604698703,ACC8838557629
TXN-1156,user_136,9880.62,AED,USA,retail,0.18,2024-01-04 15:08:30,withdrawal,Transaction 156,ACC5803275880,ACC6199350831
TXN-1157,user_094,4311.96,INR,India,online,0.45,2024-01-04 18:48:36,transfer,Transaction 157,ACC5830061253,ACC6461940127
TXN-1158,user_003,1430.79,GBP,India,restaurant,0.31,2024-01-04 11:05:27,withdrawal,Transaction 158,ACC3906533367,ACC1098927915
TXN-1159,user_020,19444.49,USD,India,online,0.34,2024-01-04 09:33:38,transfer,Transaction 159,ACC7896806706,ACC3255937861
TXN-1160,user_022,630.6,EUR,India,education,0.33,2024-01-05 12:36:11,withdrawal,Transaction 160,ACC7950909081,ACC6177204058
TXN-1161,user_124,8122.12,EUR,India,education,0.87,2024-01-05 10:19:56,deposit,Transaction 161,ACC4215920869,ACC2249582895
TXN-1162,user_006,2947.13,GBP,USA,restaurant,0.36,2024-01-05 13:24:56,deposit,Transaction 162,ACC2773116101,ACC5762319786
TXN-1163,user_097,2496.43,GBP,Singapore,retail,0.16,2024-01-05 12:58:27,deposit,Transaction 163,ACC1596044101,ACC3463247339
TXN-1164,user_180,46272.94,GBP,India,restaurant,0.87,2024-01-05 14:25:24,deposit,Transaction 164,ACC2041744316,ACC5687533900
TXN-1165,user_002,56950.91,GBP,India,automobile,0.27,2024-01-05 12:17:04,deposit,Transaction 165,ACC5570074311,ACC8224583864
TXN-1166,user_033,1551159.14,GBP,UAE,entertainment,0.34,2024-01-05 12:07:32,withdrawal,Transaction 166,ACC2445516072,ACC2727314896
TXN-1167,user_177,532.06,INR,India,grocery,0.32,2024-01-05 11:25:39,transfer,Transaction 167,ACC1508482681,ACC5113757997
TXN-1168,user_042,454305.92,SGD,India,automobile,0.18,2024-01-05 09:50:05,withdrawal,Transaction 168,ACC2628946458,ACC6582505024
TXN-1169,user_126,5309.92,USD,UAE,business,0.55,2024-01-05 12:59:50,deposit,Transaction 169,ACC8036091144,ACC4941803427
TXN-1170,user_042,575.95,GBP,India,crypto_exchange,0.28,2024-01-05 15:32:33,withdrawal,Transaction 170,ACC9832875624,ACC3404644782
TXN-1171,user_006,67165.52,INR,UK,crypto_exchange,0.56,2024-01-05 12:12:25,deposit,Transaction 171,ACC1150420998,ACC7087265141
TXN-1172,user_009,1123.7,USD,USA,education,0.25,2024-01-05 11:19:09,withdrawal,Transaction 172,ACC2089587669,ACC3376467358
TXN-1173,user_144,184.51,AED,India,travel,0.51,2024-01-05 15:50:12,withdrawal,Transaction 173,ACC7894945129,ACC9108373895
TXN-1174,user_089,7445.99,AED,India,online,0.38,2024-01-05 14:21:51,transfer,Transaction 174,ACC8588929435,ACC7507341446
TXN-1175,user_153,18905.54,SGD,UK,healthcare,0.82,2024-01-05 12:30:29,withdrawal,Transaction 175,ACC9468097260,ACC9922883081
TXN-1176,user_069,821.32,SGD,USA,grocery,0.13,2024-01-05 17:02:33,deposit,Transaction 176,ACC4259220316,ACC9806525336
TXN-1177,user_011,3072.96,SGD,UK,restaurant,0.26,2024-01-05 11:15:15,withdrawal,Transaction 177,ACC8354415651,ACC2425340574
TXN-1178,user_198,1076968.71,EUR,USA,crypto_exchange,0.11,2024-01-05 14:31:18,transfer,Transaction 178,ACC5189981849,ACC6870432777
TXN-1179,user_150,444086.03,AED,India,restaurant,0.32,2024-01-05 09:57:18,deposit,Transaction 179,ACC3085391988,ACC4891189678
TXN-1180,user_051,477221.82,USD,UAE,investment,0.8,2024-01-05 15:30:37,payment,Transaction 180,ACC6025768759,ACC7638087716
TXN-1181,user_040,2261.29,EUR,India,retail,0.24,2024-01-05 13:43:58,transfer,Transaction 181,ACC7516708241,ACC3657052638
TXN-1182,user_086,87459.98,INR,UK,crypto_exchange,0.35,2024-01-05 17:57:46,payment,Transaction 182,ACC3539971199,ACC9763674557
TXN-1183,user_162,3595.84,SGD,UAE,healthcare,0.11,2024-01-05 17:21:46,withdrawal,Transaction 183,ACC3009601599,ACC3942712669
TXN-1184,user_103,541.95,USD,India,healthcare,0.39,2024-01-05 12:33:22,withdrawal,Transaction 184,ACC2181128863,ACC2871171929
TXN-1185,user_200,3881.03,GBP,India,investment,0.77,2024-01-05 11:46:11,transfer,Transaction 185,ACC5270405158,ACC1916314122
TXN-1186,user_082,391810.86,SGD,USA,automobile,0.56,2024-01-05 16:01:29,transfer,Transaction 186,ACC1894744739,ACC9142355121
TXN-1187,user_033,810.29,SGD,India,restaurant,0.26,2024-01-05 17:14:33,withdrawal,Transaction 187,ACC1102128743,ACC8314490106
TXN-1188,user_015,3273.53,INR,Singapore,crypto_exchange,0.42,2024-01-05 09:10:55,transfer,Transaction 188,ACC2736445559,ACC8103520935
TXN-1189,user_038,37506.7,AED,India,business,0.22,2024-01-05 14:34:31,deposit,Transaction 189,ACC4925734692,ACC7209360464
TXN-1190,user_143,131.98,AED,Canada,grocery,0.17,2024-01-05 17:30:18,transfer,Transaction 190,ACC7259659362,ACC6534149342
TXN-1191,user_022,732.45,AED,India,restaurant,0.14,2024-01-05 16:02:23,withdrawal,Transaction 191,ACC3752489364,ACC6022682207
TXN-1192,user_029,9097.12,EUR,India,healthcare,0.36,2024-01-05 14:07:11,deposit,Transaction 192,ACC9315376789,ACC3106013854
TXN-1193,user_058,727.33,SGD,India,investment,0.21,2024-01-05 12:41:37,payment,Transaction 193,ACC9924252665,ACC9445140040
TXN-1194,user_095,79246.75,AED,India,utilities,0.39,2024-01-05 17:48:12,payment,Transaction 194,ACC9161948205,ACC8603889414
TXN-1195,user_031,8964.66,GBP,UK,travel,0.52,2024-01-05 17:16:25,deposit,Transaction 195,ACC3390493310,ACC4080366165
TXN-1196,user_041,5924.52,EUR,India,investment,0.21,2024-01-05 16:21:04,payment,Transaction 196,ACC3071103072,ACC9325076632
TXN-1197,user_067,1410160.21,SGD,UAE,business,0.13,2024-01-05 18:20:49,transfer,Transaction 197,ACC1187473805,ACC4079385747
